名称,平台,官方网站,功能描述
iBoysoft Data Recovery,Mac,https://setapp.com/apps/iboysoft-data-recovery,Recover deleted or lost files
CleanShot X,Mac,https://setapp.com/apps/cleanshot,Take better screenshots and GIFs
MindNode Classic,"""Mac,",https://setapp.com/apps/mindnode,Mind map and brainstorm ideas
In Your Face,Mac,https://setapp.com/apps/in-your-face,Get full-screen meeting alerts
AlDente Pro,Mac,https://setapp.com/apps/aldente-pro,Set battery charging limits
One Switch,Mac,https://setapp.com/apps/one-switch,Access macOS features fast
PDF Squeezer,"""Mac,",https://setapp.com/apps/pdf-squeezer,Compress PDFs without quality loss
Elmedia Player,Mac,https://setapp.com/apps/elmedia-player,Versatile media player
Mission Control Plus,Mac,https://setapp.com/apps/mission-control-plus,Close windows from Mission Control
Movist Pro,Mac,https://setapp.com/apps/movist-pro,Play all video formats
Hand Mirror,Mac,https://setapp.com/apps/hand-mirror,Check Mac camera in a click
Goldie App,Mac,https://setapp.com/apps/goldie-app,Measure golden ratio in designs
iStat Menus,Mac,https://setapp.com/apps/istat-menus,"Track CPU, GPU, sensors, etc."
24 Hour Wallpaper,Mac,https://setapp.com/apps/24-hour-wallpaper,100+ dynamic wallpapers
Default Folder X,Mac,https://setapp.com/apps/default-folder-x,Access recent and favorite files
Pareto Security,Mac,https://setapp.com/apps/pareto-security,Check your security settings
SQLPro Studio,"""Mac,",https://setapp.com/apps/sqlpro-studio,Manage multiple DBMS
WiFi Explorer,Mac,https://setapp.com/apps/wifi-explorer,Fix WiFi problems
Magic Window Air,Mac,https://setapp.com/apps/magic-window-air,Try aerial screen savers
Step Two,"""Mac,",https://setapp.com/apps/step-two,Simplify two-step authentication
Be Focused,Mac,https://setapp.com/apps/be-focused,Manage to-do lists with timers
SSH Config Editor,Mac,https://setapp.com/apps/ssh-config-editor,Manage SSH client config files
Awesome Habits,"""Mac,",https://setapp.com/apps/awesome-habits,Build better habits
Merlin Project Express,Mac,https://setapp.com/apps/merlin-project-express,Manage large projects
KeyKey Typing Tutor,Mac,https://setapp.com/apps/keykey-typing-tutor,Boost your typing speed
News Explorer,Mac,https://setapp.com/apps/news-explorer,Create your perfect RSS feed
SQLPro for SQLite,Mac,https://setapp.com/apps/sqlpro-for-sqlite,Control SQLite databases
Mate Translate,Mac,https://setapp.com/apps/mate-translate,Translate anything
Forecast Bar,Mac,https://setapp.com/apps/forecast-bar,Receive weather alerts
App Tamer,Mac,https://setapp.com/apps/app-tamer,Reduce CPU usage
Commander One,Mac,https://setapp.com/apps/commander-one,Two-pane file manager
ChronoSync Express,Mac,https://setapp.com/apps/chronosync-express,Sync and back up folders
Time Out,Mac,https://setapp.com/apps/time-out,Remind yourself to take a break
Glyphs Mini,Mac,https://setapp.com/apps/glyphs-mini,Edit and manage icon designs
Asset Catalog Creator Pro,Mac,https://setapp.com/apps/asset-catalog-creator-pro,Prepare icons and app assets
Mockuuups Studio,Mac,https://setapp.com/apps/mockuuups-studio,Generate mockups for all devices
Core Shell,Mac,https://setapp.com/apps/core-shell,Full-featured SSH terminal
Lofi Garden,Mac,https://setapp.com/apps/lofi-garden,Play lofi music in a click
Swift Publisher,Mac,https://setapp.com/apps/swift-publisher,Self-publish books or booklets
Cloud Outliner,Mac,https://setapp.com/apps/cloud-outliner,Create visual outlines
Movie Explorer Pro,Mac,https://setapp.com/apps/movie-explorer-pro,Curate your movie collection
Path Finder,Mac,https://setapp.com/apps/path-finder,"Copy, delete, and sync files"
WiFi Signal,Mac,https://setapp.com/apps/wifi-signal,Monitor your Wi-Fi connection
PDF Search,"""Mac,",https://setapp.com/apps/pdf-search,Find anything in a PDF with AI
Boom 3D,"""Mac,",https://setapp.com/apps/boom-3d,Boost volume and audio quality
Focus 2,Mac,https://setapp.com/apps/focus,Block websites and apps
Teleprompter App,"""Mac,",https://setapp.com/apps/teleprompter-app,Record video with teleprompter
Luminar Neo,Mac,https://setapp.com/apps/luminar-neo,Improve your photos like a pro
ChatMate for WhatsApp,Mac,https://setapp.com/apps/chatmate-for-whatsapp,Personalize WhatsApp
CameraBag Pro,Mac,https://setapp.com/apps/camerabag-pro,Edit photos and videos
Nitro PDF Pro,"""Mac,",https://setapp.com/apps/nitro-pdf-pro,Work with your PDFs
Spark Mail,"""Mac,",https://setapp.com/apps/spark-mail,Manage emails easier
World Clock Pro,"""Mac,",https://setapp.com/apps/world-clock-pro,Work across time zones
iBoysoft MagicMenu,Mac,https://setapp.com/apps/iboysoft-magicmenu,Expand your Mac’s right click
PDF Pals,Mac,https://setapp.com/apps/pdf-pals,Chat with your PDFs
Tiny Shield,Mac,https://setapp.com/apps/tiny-shield,Track your Mac connections
Focused Work,"""Mac,",https://setapp.com/apps/focused-work-mac,Work with timers
iBoysoft NTFS for Mac,Mac,https://setapp.com/apps/iboysoft-ntfs-for-mac,Read/write to NTFS drives
Get Backup Pro,Mac,https://setapp.com/apps/get-backup-pro,Back up only essential files
Invoice Rex,"""Mac,",https://setapp.com/apps/invoice-rex,Edit and track invoices
Canary Mail,"""Mac,",https://setapp.com/apps/canary-mail,Write and manage emails
Rocket Typist,"""Mac,",https://setapp.com/apps/rocket-typist,Save time typing with text snippets
Spellar AI,"""Mac,",https://setapp.com/apps/spellar-ai,Smart Meeting Notes with AI
Smmall Cloud,Mac,https://setapp.com/apps/smmall-cloud,Share files and boost your brand
MoneyWiz 2025,"""Mac,",https://setapp.com/apps/moneywiz,Budget and manage bills
Pie Menu,Mac,https://setapp.com/apps/pie-menu,Access app actions in a click
Remote Mouse,Mac,https://setapp.com/apps/remote-mouse,Control Mac from your phone
AnyTrans for iOS,Mac,https://setapp.com/apps/anytrans,Move files between macOS and iOS
Secrets 4,"""Mac,",https://setapp.com/apps/secrets,Store and manage passwords
Keep It Shot,Mac,https://setapp.com/apps/keep-it-shot,Rename screenshots with AI
Coherence X,Mac,https://setapp.com/apps/coherence-pro,Turn websites into apps
Filmage Editor,Mac,https://setapp.com/apps/filmage-editor,Easily edit videos like a pro
Mental Walk,Mac,https://setapp.com/apps/mentalwalk,Reflect on your life
Tab Finder,Mac,https://setapp.com/apps/tabfinder,Tabs from all browsers in one spot
n-Track Studio,Mac,https://setapp.com/apps/n-track-studio,Record and edit music on Mac
Launcher with Multiple Widgets,iOS,https://setapp.com/apps/launcher-with-multiple-widgets-ios,Customize your home screen
Voice Dream Reader,Mac,https://setapp.com/apps/voice-dream-reader,Listen to your texts
Leave Me Alone,Web,https://setapp.com/apps/leave-me-alone,Manage email subscriptions
Ready to Send,Web,https://setapp.com/apps/ready-to-send,Generate draft email replies
