名称,平台,评分,官方订阅价格,功能描述,官方网站,Setapp链接
2Do,Mac,92,14.99,强大的任务管理和待办事项应用，支持GTD方法论,https://www.2do.com,https://setapp.com/apps/2do
Awesome Habits,"Mac, iOS",92,79.99,习惯养成和跟踪应用,https://www.awesomehabits.com,https://setapp.com/apps/awesome-habits
Be Focused,Mac,81,19.99,Eliminate distractions. Break up goals into small chunks. Allow yourself time to pause. Let your best self-shine with Be Focused productivity timer.,https://www.befocused.com,https://setapp.com/apps/be-focused
Busycal,Mac,91,0.0,"BusyCal — Manage your schedule on Mac. Use natural language for events, create custom alerts, and more.",https://www.busycal.com,https://setapp.com/apps/busycal
Busycontacts,Mac,85,0.0,BusyContacts — Contact manager for Mac. Create detailed cards and sync across services.,https://www.busycontacts.com,https://setapp.com/apps/busycontacts
Calendars,"Mac, iOS",92,59.99,"Calendars — Track tasks, events, and plans on Mac. Organize your schedule with a seamless and user-friendly interface.",https://www.calendars.com,https://setapp.com/apps/calendars
Chronicle,"Mac, iOS",91,4.99,Never lose track of another expense or get hit by an unexpected charge with Chronicle budgeting and expense tracking apps for Mac.,https://www.chronicle.com,https://setapp.com/apps/chronicle
Clariti,Mac,82,29.99,"Clariti — Focus, relax, and unwind using adaptive soundscapes, ideal for writers, remote workers, and mindfulness seekers.",https://www.clariti.com,https://setapp.com/apps/clariti
Craft,"Mac, iOS",94,29.99,"Craft — Note-taking and document app for Mac. Create, link, share, and collaborate with beautiful formatting.",https://www.craft.com,https://setapp.com/apps/craft
Daily,"Mac, iOS",84,99.99,Daily — Time tracking app for Mac. Monitor daily tasks and activities with automatic tracking.,https://www.daily.com,https://setapp.com/apps/daily
Dato,Mac,86,9.99,Dato — Manage your schedule on Mac. Track calendars and events directly from your menu bar.,https://www.dato.com,https://setapp.com/apps/dato
Due,Mac,95,0.0,Due — Reminder app for Mac with persistent notifications to help you stay on top of tasks.,https://www.due.com,https://setapp.com/apps/due
Focus,Mac,88,2.99,Focus — Block distracting apps and websites on Mac. Stay productive by keeping temptations like Facebook and Twitter at bay.,https://www.focus.com,https://setapp.com/apps/focus
Goodtask,Mac,81,39.99,"GoodTask — Task manager for Mac. Manage projects, reminders, and calendars in one simple app.",https://www.goodtask.com,https://setapp.com/apps/goodtask
Keep It,Mac,86,49.99,Keep It - 专业的Mac应用程序，为您的工作和生活带来便利,https://www.keepit.com,https://setapp.com/apps/keep-it
Marginnote,Mac,92,29.99,Master the art of reading and note-taking by wiping out any limitations to annotating the way you want with MarginNote. Then use mindmaps and flashcards to dive deep into new subjects.,https://www.marginnote.com,https://setapp.com/apps/marginnote
Mindnode,"Mac, iOS",83,4.99,"MindNode — Brainstorm and organize your ideas visually. Ideal for those who like to think and plan, available on Mac and iOS.",https://www.mindnode.com,https://setapp.com/apps/mindnode
Moment,Mac,87,79.99,Moment — Menu bar app for Mac to create countdowns and remember life’s important events.,https://www.moment.com,https://setapp.com/apps/moment
Noteplan,"Mac, iOS",90,79.99,NotePlan — Plan and manage your daily tasks seamlessly on your Mac. Boost productivity to the highest level.,https://www.noteplan.com,https://setapp.com/apps/noteplan
Paper,"Mac, iOS",84,39.99,"Paper — Distraction-free writing app for Mac. Write, edit, and format with Markdown for a seamless writing experience.",https://www.paper.com,https://setapp.com/apps/paper
Studies,Mac,95,2.99,"Studies — Flashcard and study app for Mac, perfect for students preparing for exams.",https://www.studies.com,https://setapp.com/apps/studies
Subjects,Mac,83,9.99,"Subjects — Student planner app for Mac to track assignments, schedules, and grades.",https://www.subjects.com,https://setapp.com/apps/subjects
Taskpaper,Mac,81,49.99,TaskPaper — To-do list app for Mac. Stay organized with plain-text productivity.,https://www.taskpaper.com,https://setapp.com/apps/taskpaper
Taskheat,Mac,81,39.99,"The easiest way to burn through all tasks in your grid is to link them together with Taskheat. With Flowchart and List views, this task manager gives you a perfect visualization of to-dos.",https://www.taskheat.com,https://setapp.com/apps/taskheat
Timing,Mac,93,59.99,Time tracking for Mac is effortless with Timing. Focus on your work and let the app worry about tracking and reports.,https://www.timing.com,https://setapp.com/apps/timing
Ulysses,"Mac, iOS",81,2.99,"One of the best writing apps for Mac, Ulysses is known to have every tool you need at your fingertips while staying out of your way at the same time. Just try and see.",https://www.ulysses.com,https://setapp.com/apps/ulysses
Adlock,"Mac, iOS",94,59.99,"AdLock — Block unwanted ads on Mac. Say goodbye to pop-ups, banners, and autoplay videos.",https://www.adlock.com,https://setapp.com/apps/adlock
Airbuddy,Mac,95,79.99,AirBuddy — Monitor your wireless devices on Mac. Enjoy smooth and seamless connections with all your Bluetooth gadgets.,https://www.airbuddy.com,https://setapp.com/apps/airbuddy
Aldente Pro,Mac,93,2.99,AlDente — Optimize battery charging on your MacBook. Keep your battery healthy and extend its lifespan.,https://www.aldentepro.com,https://setapp.com/apps/aldente-pro
App Tamer,Mac,90,79.99,Identify idle apps that hog CPU on your Mac and choose to slow down or stop them altogether to free up CPU.,https://www.apptamer.com,https://setapp.com/apps/app-tamer
Bartender,Mac,92,99.99,Bartender — Organize and declutter your Mac’s menu bar. Keep important icons accessible and your desktop neat.,https://www.bartender.com,https://setapp.com/apps/bartender
Batteries,Mac,82,79.99,Batteries — Monitor all your device battery levels on Mac. Get instant recharge alerts and stay powered up.,https://www.batteries.com,https://setapp.com/apps/batteries
Bettertouchtool,Mac,84,49.99,BetterTouchTool — Create custom actions for everyday tasks on your Mac. Great for personal and professional use to optimize your time and efforts.,https://www.bettertouchtool.com,https://setapp.com/apps/bettertouchtool
Cleanmymac,Mac,81,39.99,"CleanMyMac — Clean, optimize, and secure your Mac. Speed up your device and free up space with ease.",https://www.cleanmymac.com,https://setapp.com/apps/cleanmymac
Cleanmyphone,iOS,81,149.99,"CleanMy®Phone — download via Setapp to easily remove clutter, duplicates, and large videos, helping you keep your device clean and optimized.",https://www.cleanmyphone.com,https://setapp.com/apps/cleanmyphone
Clearvpn,"Mac, iOS",94,14.99,ClearVPN — Browse more securely and privately with a one-click VPN for Mac. Works on macOS and iOS.,https://www.clearvpn.com,https://setapp.com/apps/clearvpn
Commander One,Mac,80,9.99,Commander One — Dual-pane file manager for Mac. Replace Finder with advanced file control.,https://www.commanderone.com,https://setapp.com/apps/commander-one
Default Folder X,Mac,92,14.99,Default Folder X — Finder enhancer for Mac. Improve file dialogs with shortcuts and favorites.,https://www.defaultfolderx.com,https://setapp.com/apps/default-folder-x
Displaybuddy,Mac,82,49.99,"DisplayBuddy — Control brightness, contrast, and volume on external Mac monitors directly from your desktop.",https://www.displaybuddy.com,https://setapp.com/apps/displaybuddy
Endurance,Mac,84,14.99,Extend your Mac’s battery life by 20% just by turning Endurance on. This brilliant app will help you get more done without any interruptions to the way you work.,https://www.endurance.com,https://setapp.com/apps/endurance
Forklift,Mac,94,4.99,ForkLift — Manage files and servers with dual-pane navigation. A robust Finder and FTP client for Mac.,https://www.forklift.com,https://setapp.com/apps/forklift
Gemini,Mac,91,4.99,Gemini — Find and remove duplicate files on Mac. Free up space by deleting similar content.,https://www.gemini.com,https://setapp.com/apps/gemini
Hand Mirror,Mac,88,59.99,Check your Mac camera view in a single click from your menu bar with this handy helper app.,https://www.handmirror.com,https://setapp.com/apps/hand-mirror
Hazeover,Mac,89,149.99,HazeOver — Focus tool for Mac. Dim background windows and highlight your current task to stay productive.,https://www.hazeover.com,https://setapp.com/apps/hazeover
Istat Menus,Mac,87,49.99,"iStat Menus — Monitor your Mac's performance in real time. View CPU, GPU, RAM, and network usage at a glance.",https://www.istatmenus.com,https://setapp.com/apps/istat-menus
Lungo,Mac,90,49.99,"Lungo — Prevent your Mac from sleeping during videos, presentations, or focused work.",https://www.lungo.com,https://setapp.com/apps/lungo
Mosaic,Mac,85,99.99,Mosaic — Window manager for Mac. Organize and fit all your applications perfectly on one screen.,https://www.mosaic.com,https://setapp.com/apps/mosaic
One Switch,Mac,89,9.99,One Switch — Menu bar app for Mac. Toggle system settings quickly without digging through preferences.,https://www.oneswitch.com,https://setapp.com/apps/one-switch
Pareto Security,Mac,84,99.99,Pareto Security — Security checker for Mac. Scan and improve system settings instantly.,https://www.paretosecurity.com,https://setapp.com/apps/pareto-security
Path Finder,Mac,82,99.99,"Path Finder — Expand your Mac’s file management. Move, copy, sync, and manage files seamlessly with this Finder alternative.",https://www.pathfinder.com,https://setapp.com/apps/path-finder
Proxyman,"Mac, iOS",86,39.99,Proxyman — Debug HTTP/HTTPS requests on Mac. Spot and fix issues in real-time with this advanced proxy tool.,https://www.proxyman.com,https://setapp.com/apps/proxyman
Simon,Mac,86,39.99,Simon — Server monitoring app for Mac that alerts you instantly when issues arise.,https://www.simon.com,https://setapp.com/apps/simon
Toothfairy,Mac,90,2.99,ToothFairy — Manage Bluetooth devices on Mac. Switch devices with one click or hotkey and improve audio quality.,https://www.toothfairy.com,https://setapp.com/apps/toothfairy
Tripmode,Mac,93,19.99,"TripMode — Data usage tracker for Mac. Control hotspot traffic, save mobile data, and cut costs automatically.",https://www.tripmode.com,https://setapp.com/apps/tripmode
Unclutter,Mac,86,19.99,"Unclutter — Productivity app for Mac. Store notes, files, and clipboard history in one hidden drawer.",https://www.unclutter.com,https://setapp.com/apps/unclutter
Usage,"Mac, iOS",89,49.99,"Usage — Mac system monitor for memory, CPU load, battery health, and performance stats.",https://www.usage.com,https://setapp.com/apps/usage
Wifi Explorer,Mac,80,19.99,WiFi Explorer — Network analyzer for Mac. Troubleshoot connections and monitor Wi-Fi.,https://www.wifiexplorer.com,https://setapp.com/apps/wifi-explorer
Wifi Signal,Mac,93,79.99,WiFi Signal — Monitor your Wi-Fi connection on Mac. Track signal strength and get alerts for changes.,https://www.wifisignal.com,https://setapp.com/apps/wifi-signal
Asset Catalog Creator Pro,Mac,85,49.99,Asset Catalog Creator — Convert images into app-ready icons. Automate icon creation for iOS and macOS projects.,https://www.assetcatalogcreatorpro.com,https://setapp.com/apps/asset-catalog-creator-pro
Bydesign,"Mac, iOS",91,0.0,"ByDesign — All-in-one planner for Mac. Organize tasks, notes, and calendars with natural language input and seamless syncing.",https://www.bydesign.com,https://setapp.com/apps/bydesign
Camerabag Pro,Mac,85,49.99,"Try the professional retouching app for Mac that includes one-click filters, beautiful presets, advanced adjustments, batch edits, and watermarking.",https://www.camerabagpro.com,https://setapp.com/apps/camerabag-pro
Capto,Mac,83,99.99,"Capto — Record and edit screen videos on Mac. Perfect for tutorials, demos, and presentations.",https://www.capto.com,https://setapp.com/apps/capto
Cleanshot X,Mac,85,0.0,专业截图和录屏工具,https://www.cleanshotx.com,https://setapp.com/apps/cleanshot-x
Coherence X,Mac,84,2.99,网站转换为原生应用工具,https://www.coherencex.com,https://setapp.com/apps/coherence-x
Diagrams,Mac,95,2.99,Diagrams — Visual thinking app for Mac to structure data and ideas into clear diagrams.,https://www.diagrams.com,https://setapp.com/apps/diagrams
Expressions,Mac,80,59.99,"Expressions — Regex editor for Mac with syntax highlighting, cheatsheets, and live testing.",https://www.expressions.com,https://setapp.com/apps/expressions
Filmage Editor,Mac,90,149.99,"Filmage Editor — Video editor for Mac. Trim, edit, and create professional-quality videos with ease.",https://www.filmageeditor.com,https://setapp.com/apps/filmage-editor
Flinto,Mac,89,29.99,Flinto — App prototyping tool for Mac. Design interactive transitions and animations without coding.,https://www.flinto.com,https://setapp.com/apps/flinto
Gifox,Mac,91,4.99,"No need to know how to make a GIF to share a quick screencast. Just record your screen into the animated GIF with Gifox, and it'll do it for you.",https://www.gifox.com,https://setapp.com/apps/gifox
Glue Motion,Mac,87,19.99,动画制作工具,https://www.gluemotion.com,https://setapp.com/apps/glue-motion
Glyphs Mini,Mac,82,99.99,Glyphs Mini — Edit and manage icon and font designs on your Mac. Ideal for designers who want to create unique style items.,https://www.glyphsmini.com,https://setapp.com/apps/glyphs-mini
Hype,Mac,87,19.99,Hype — HTML5 animation app for Mac. Create interactive web content without coding.,https://www.hype.com,https://setapp.com/apps/hype
Iconjar,Mac,90,49.99,"A life-saver for developers and designers, IconJar takes away the burden of manually searching and organizing your icons. The icon manager with a support for SVGs and icon fonts.",https://www.iconjar.com,https://setapp.com/apps/iconjar
Luminar Neo,Mac,90,9.99,"Luminar Neo — AI photo editor for Mac. Enhance, retouch, and create high-quality images fast.",https://www.luminarneo.com,https://setapp.com/apps/luminar-neo
Marked,Mac,83,39.99,Marked — Markdown previewer for Mac to render and refine markup before publishing.,https://www.marked.com,https://setapp.com/apps/marked
Meta,Mac,85,0.0,Meta is a powerful music tag editor for managing your audio files collection on Mac. Automate the way you organize music with quick actions.,https://www.meta.com,https://setapp.com/apps/meta
Metaimage,Mac,94,59.99,Batch edit images metadata in no time. Metalmage is the only tool for all editions you’ll ever need — from keywords and descriptions to GPS coordinates.,https://www.metaimage.com,https://setapp.com/apps/metaimage
Photobulk,Mac,89,2.99,"If you need a batch image editor for Mac, PhotoBulk can modify tons of pictures, renaming, resizing, watermarking, optimizing, and convert multiple images at the same time.",https://www.photobulk.com,https://setapp.com/apps/photobulk
Photosrevive,"Mac, iOS",93,39.99,PhotosRevive — AI photo colorizer for Mac. Restore old black-and-white images with color.,https://www.photosrevive.com,https://setapp.com/apps/photosrevive
