名称,平台,评分,官方订阅价格,功能描述,官方网站,Setapp链接
2Do,Mac,84,29.99,,,https://setapp.com/apps/2do
Awesome Habits,Mac,93,39.99,,,https://setapp.com/apps/awesome-habits
Be Focused,Mac,83,0,,,https://setapp.com/apps/be-focused
Busycal,Mac,82,149.99,,,https://setapp.com/apps/busycal
Busycontacts,Mac,89,49.99,,,https://setapp.com/apps/busycontacts
Calendars,Mac,85,79.99,,,https://setapp.com/apps/calendars
Chronicle,Mac,93,79.99,,,https://setapp.com/apps/chronicle
Clariti,Mac,78,14.99,,,https://setapp.com/apps/clariti
Craft,Mac,83,14.99,,,https://setapp.com/apps/craft
Daily,Mac,93,99.99,,,https://setapp.com/apps/daily
Dato,Mac,95,99.99,,,https://setapp.com/apps/dato
Due,Mac,75,149.99,,,https://setapp.com/apps/due
Focus,Mac,86,99.99,,,https://setapp.com/apps/focus
Goodtask,Mac,83,0,,,https://setapp.com/apps/goodtask
Keep It Shot,Mac,91,2.99,,,https://setapp.com/apps/keep-it-shot
Marginnote,Mac,93,4.99,,,https://setapp.com/apps/marginnote
Mindnode Classic,Mac,83,99.99,Mindnode Classic - 专业的Mac应用程序，提升您的工作效率,https://www.mindnodeclassic.com,https://setapp.com/apps/mindnode-classic
Moment,Mac,79,14.99,,,https://setapp.com/apps/moment
Noteplan,Mac,81,59.99,,,https://setapp.com/apps/noteplan
Paper,Mac,80,0,,,https://setapp.com/apps/paper
Paste,Mac,92,39.99,,,https://setapp.com/apps/paste
Studies,Mac,87,59.99,,,https://setapp.com/apps/studies
Subjects,Mac,88,0,,,https://setapp.com/apps/subjects
Taskpaper,Mac,86,49.99,,,https://setapp.com/apps/taskpaper
Taskheat,Mac,93,99.99,,,https://setapp.com/apps/taskheat
Timing,Mac,93,19.99,,,https://setapp.com/apps/timing
Ulysses,Mac,78,19.99,,,https://setapp.com/apps/ulysses
Adlock,Mac,84,14.99,,,https://setapp.com/apps/adlock
Airbuddy,Mac,95,4.99,,,https://setapp.com/apps/airbuddy
Aldente Pro,Mac,92,14.99,,,https://setapp.com/apps/aldente-pro
App Tamer,Mac,90,39.99,,,https://setapp.com/apps/app-tamer
Bartender,Mac,88,9.99,,,https://setapp.com/apps/bartender
Batteries,Mac,95,59.99,,,https://setapp.com/apps/batteries
Bettertouchtool,Mac,89,29.99,,,https://setapp.com/apps/bettertouchtool
Cleanmymac,Mac,93,0,,,https://setapp.com/apps/cleanmymac
Cleanmyphone,Mac,88,59.99,,,https://setapp.com/apps/cleanmyphone
Clearvpn,Mac,75,19.99,,,https://setapp.com/apps/clearvpn
Commander One,Mac,81,29.99,,,https://setapp.com/apps/commander-one
Default Folder X,Mac,89,4.99,,,https://setapp.com/apps/default-folder-x
Displaybuddy,Mac,75,149.99,,,https://setapp.com/apps/displaybuddy
Endurance,Mac,86,9.99,,,https://setapp.com/apps/endurance
Forklift,Mac,92,149.99,,,https://setapp.com/apps/forklift
Gemini,Mac,91,39.99,,,https://setapp.com/apps/gemini
Hand Mirror,Mac,87,19.99,,,https://setapp.com/apps/hand-mirror
Hazeover,Mac,77,19.99,,,https://setapp.com/apps/hazeover
Istat Menus,Mac,81,14.99,,,https://setapp.com/apps/istat-menus
Lungo,Mac,75,59.99,,,https://setapp.com/apps/lungo
Mosaic,Mac,87,149.99,,,https://setapp.com/apps/mosaic
One Switch,Mac,87,59.99,,,https://setapp.com/apps/one-switch
Pareto Security,Mac,75,79.99,,,https://setapp.com/apps/pareto-security
Path Finder,Mac,77,0,,,https://setapp.com/apps/path-finder
Proxyman,Mac,87,19.99,,,https://setapp.com/apps/proxyman
Simon,Mac,79,0,,,https://setapp.com/apps/simon
Toothfairy,Mac,77,14.99,,,https://setapp.com/apps/toothfairy
Tripmode,Mac,79,0,,,https://setapp.com/apps/tripmode
