名称,平台,评分,官方订阅价格,功能描述,官方网站,Setapp链接
2Do,Mac,92,14.99,,https://www.2do.com,https://setapp.com/apps/2do
Awesome Habits,Mac,92,79.99,,https://www.awesomehabits.com,https://setapp.com/apps/awesome-habits
Be Focused,Mac,81,19.99,,https://www.befocused.com,https://setapp.com/apps/be-focused
Busycal,Mac,91,0,,https://www.busycal.com,https://setapp.com/apps/busycal
Busycontacts,Mac,85,0,,https://www.busycontacts.com,https://setapp.com/apps/busycontacts
Calendars,Mac,92,59.99,,https://www.calendars.com,https://setapp.com/apps/calendars
Chronicle,Mac,91,4.99,,https://www.chronicle.com,https://setapp.com/apps/chronicle
Clariti,Mac,82,29.99,,https://www.clariti.com,https://setapp.com/apps/clariti
Craft,Mac,94,29.99,,https://www.craft.com,https://setapp.com/apps/craft
Daily,Mac,84,99.99,,https://www.daily.com,https://setapp.com/apps/daily
Dato,Mac,86,9.99,,https://www.dato.com,https://setapp.com/apps/dato
Due,Mac,95,0,,https://www.due.com,https://setapp.com/apps/due
Focus,Mac,88,2.99,,https://www.focus.com,https://setapp.com/apps/focus
Goodtask,Mac,81,39.99,,https://www.goodtask.com,https://setapp.com/apps/goodtask
Keep It,Mac,86,49.99,Keep It - 专业的Mac应用程序，为您的工作和生活带来便利,https://www.keepit.com,https://setapp.com/apps/keep-it
Marginnote,Mac,92,29.99,,https://www.marginnote.com,https://setapp.com/apps/marginnote
Mindnode,Mac,83,4.99,,https://www.mindnode.com,https://setapp.com/apps/mindnode
Moment,Mac,87,79.99,,https://www.moment.com,https://setapp.com/apps/moment
Noteplan,Mac,90,79.99,,https://www.noteplan.com,https://setapp.com/apps/noteplan
Paper,Mac,84,39.99,,https://www.paper.com,https://setapp.com/apps/paper
Studies,Mac,95,2.99,,https://www.studies.com,https://setapp.com/apps/studies
Subjects,Mac,83,9.99,,https://www.subjects.com,https://setapp.com/apps/subjects
Taskpaper,Mac,81,49.99,,https://www.taskpaper.com,https://setapp.com/apps/taskpaper
